"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
398,314,325,166,140,304,688,738,668,865,500,269,260,5
297,251,304,85,74,293,634,705,653,863,769,321,275,5
206,176,299,203,173,300,577,654,711,927,767,398,301,8
177,141,321,95,79,306,687,717,644,869,313,306,240,15
125,103,311,94,76,316,719,722,576,754,327,149,229,18
197,169,298,97,83,299,687,661,684,749,311,270,191,51
329,282,299,112,96,297,747,762,651,872,340,319,295,67
237,165,367,260,184,361,704,779,697,990,504,255,263,76
203,174,298,99,89,285,623,621,588,787,486,217,231,88
314,292,275,142,115,318,660,780,674,845,921,326,299,131
242,210,296,81,72,287,561,664,648,837,692,263,260,136
268,239,287,91,78,299,655,702,649,832,851,205,206,139
239,210,291,147,120,313,680,689,680,836,560,266,264,142
199,179,285,120,97,317,705,740,560,841,551,194,201,156
124,100,320,151,124,311,721,715,623,874,410,253,282,161
110,86,327,187,149,320,566,749,695,962,826,425,144,190
178,140,325,111,90,316,657,753,649,787,672,236,241,206
351,311,289,77,69,288,598,770,656,811,863,200,285,227
242,214,290,133,116,293,693,682,623,831,518,292,245,239
185,167,284,107,96,285,552,598,595,858,315,252,210,257
239,201,305,201,167,309,577,598,651,840,549,278,233,279
201,176,293,75,65,293,650,653,566,804,741,192,214,296
318,264,309,164,133,316,734,748,661,840,561,249,254,305
296,251,302,128,113,289,599,669,611,835,438,200,202,312
261,193,347,170,135,322,759,728,688,789,555,245,230,341
254,214,304,122,111,281,559,605,564,874,268,248,265,360
320,282,291,88,74,305,594,736,690,871,849,314,327,363
166,136,312,103,88,298,586,657,560,841,788,272,273,365
321,273,302,107,93,293,677,716,605,870,550,223,290,411
238,211,288,78,71,284,602,687,611,865,826,333,217,453
233,203,293,92,81,292,571,622,646,838,436,236,217,454
222,192,295,74,68,277,588,670,645,831,698,245,248,459
193,160,309,101,76,337,680,711,649,845,570,260,233,480
240,207,298,116,98,302,575,597,663,877,312,303,217,519
259,221,300,95,79,306,576,767,610,849,854,262,239,524
294,227,331,176,136,332,760,752,695,892,314,290,231,537
320,250,327,153,124,318,726,763,683,910,660,305,247,558
336,284,303,232,192,309,659,710,727,853,627,392,278,560
107,92,297,116,97,307,594,631,554,795,782,247,245,562
214,170,322,130,94,354,568,697,676,952,801,175,245,589
324,283,294,98,87,289,650,694,648,819,786,262,279,608
339,291,298,89,76,299,705,722,638,846,649,180,226,619
336,284,303,247,199,318,722,765,685,904,631,144,199,710
264,211,320,130,106,316,600,745,705,945,894,397,364,715
215,173,318,129,103,319,705,723,564,771,416,211,238,717
199,178,286,55,50,278,579,699,498,816,810,210,239,718
425,364,298,99,90,283,564,674,689,841,661,304,226,726
307,259,303,114,98,299,672,783,703,823,897,371,236,734
271,230,302,133,112,303,745,734,692,868,856,232,192,744
122,101,309,109,91,306,618,711,598,870,802,186,183,766
300,253,304,114,103,281,551,704,686,880,810,350,252,775
124,89,356,184,128,369,750,782,685,955,551,126,132,782
409,366,286,118,104,290,680,702,654,818,849,346,254,798
295,247,307,95,84,290,644,731,532,772,368,255,251,798
263,204,330,91,67,345,643,723,619,852,849,197,218,808
326,282,296,128,111,294,735,700,625,842,474,254,227,815
142,129,283,134,115,299,723,743,644,836,615,210,244,842
191,159,308,148,120,315,668,771,609,869,820,225,270,865
277,227,311,83,75,286,672,673,657,814,310,213,208,888
280,230,312,158,138,293,580,691,715,912,822,353,251,898
315,274,295,81,74,279,595,655,530,747,853,247,245,911
270,221,313,127,100,326,662,745,530,754,369,167,227,926
198,180,283,159,128,317,558,704,698,921,783,304,226,963
488,362,345,385,310,318,691,718,721,929,433,318,232,967
119,78,391,202,136,379,771,744,707,807,511,257,232,975
361,306,302,86,76,290,660,714,673,850,779,271,241,999
225,199,290,137,121,291,636,731,683,836,728,343,248,1005
338,297,291,78,69,288,609,711,625,732,422,261,227,1007
176,142,318,239,194,316,569,618,634,872,304,276,246,1016
